ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,43.27,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.48,1.7,1440.0,1,1.0,False
DynaCardAnalysis,30.36,390.55,60.0,1,24.0,True
ESP_CurrentValue,7.01,39.55,60.0,24,24.0,False
ESP_DailySummary,40.27,132.75,1440.0,1,1.0,False
ESP_Exception,3.44,22.03,60.0,24,24.0,False
ESP_HourlySummary,8.54,53.18,60.0,22,24.0,True
ETL BACKFILL,3.27,15.83,0.0,0,0.0,False
ETL DAILY SUMMARY ESP US PROD,0.82,1.63,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,0.9,1.87,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,3.4,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.04,2.05,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.65,3.27,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,3.44,12.37,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.18,4.37,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.23,4.43,720.0,2,2.0,False
ETL PRI ESP US PROD,2.3,4.5,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.37,4.58,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.42,4.65,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.53,4.77,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.67,4.92,720.0,2,2.0,False
ETL PRI WELL US PROD,2.85,5.12,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,5.75,12.05,720.0,2,2.0,False
ETL WELLBORE US PROD,5.78,12.07,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,5.84,12.12,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.37,9.83,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,5.93,12.13,720.0,2,2.0,False
Flowing_CurrentValue,4.01,31.9,60.0,24,24.0,False
Flowing_DailySummary,1.25,2.73,1440.0,1,1.0,False
Flowing_Exception,2.05,9.4,60.0,24,24.0,False
Flowing_HourlySummary,1.84,30.58,60.0,23,24.0,True
Gaslift_CurrentValue,0.77,45.4,60.0,24,24.0,False
GasLift_DailySummary,2.84,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.39,6.4,60.0,24,24.0,False
Gaslift_HourlySummary,0.78,19.42,60.0,23,24.0,True
Injection_DailySummary,79.94,190.75,1440.0,1,1.0,False
PIAttributeMapExport,50.21,148.9,120.0,0,12.0,True
RodPump_CurrentValue,41.75,95.47,60.0,1,24.0,True
Rodpump_DailySummary,143.33,246.08,1440.0,1,1.0,False
RodPump_Exception,33.42,52.32,1440.0,1,1.0,False
RodPump_HourlySummary,48.96,212.78,60.0,23,24.0,True
RodpumpCycleHistory,22.42,50.48,1440.0,1,1.0,False
WellTestValidation,2.49,7.82,60.0,24,24.0,False
