Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10643,16.32,"09/02/2019, 01:30:01","09/02/2019, 01:46:20"
CompressorBase_DailySummary,Good : 1310,0.12,"09/02/2019, 01:01:12","09/02/2019, 01:01:19"
DynaCardAnalysis,Good : 10643,281.0,"09/02/2019, 01:40:03","09/02/2019, 06:21:03"
ESP_CurrentValue,Good : 13760,3.77,"09/02/2019, 02:00:05","09/02/2019, 02:03:51"
ESP_CurrentValue,Good : 13760,3.42,"09/02/2019, 01:00:05","09/02/2019, 01:03:30"
ESP_CurrentValue,Good : 13760,3.55,"09/02/2019, 00:00:05","09/02/2019, 00:03:38"
ESP_CurrentValue,Good : 13760,6.93,"09/02/2019, 03:00:05","09/02/2019, 03:07:01"
ESP_CurrentValue,Good : 13760,3.07,"09/02/2019, 04:00:05","09/02/2019, 04:03:09"
ESP_CurrentValue,Good : 13760,3.65,"09/02/2019, 05:00:05","09/02/2019, 05:03:44"
ESP_CurrentValue,Good : 13760,2.82,"09/02/2019, 06:00:05","09/02/2019, 06:02:54"
ESP_CurrentValue,Good : 13760,3.02,"09/02/2019, 07:00:05","09/02/2019, 07:03:06"
ESP_CurrentValue,Good : 13760,3.03,"09/02/2019, 08:00:05","09/02/2019, 08:03:07"
ESP_CurrentValue,Good : 13759,2.87,"09/02/2019, 09:00:06","09/02/2019, 09:02:58"
ESP_CurrentValue,Good : 13760,3.13,"09/02/2019, 10:00:08","09/02/2019, 10:03:16"
ESP_CurrentValue,Good : 13778,3.57,"09/02/2019, 11:00:07","09/02/2019, 11:03:41"
ESP_CurrentValue,Good : 13778,3.33,"09/02/2019, 12:00:04","09/02/2019, 12:03:24"
ESP_CurrentValue,Good : 13778,3.33,"09/02/2019, 13:00:04","09/02/2019, 13:03:24"
ESP_CurrentValue,Good : 13777,2.9,"09/02/2019, 14:00:05","09/02/2019, 14:02:59"
ESP_CurrentValue,Good : 13778,2.85,"09/02/2019, 15:00:05","09/02/2019, 15:02:56"
ESP_CurrentValue,Good : 13778,3.07,"09/02/2019, 16:00:05","09/02/2019, 16:03:09"
ESP_CurrentValue,Good : 13778,2.97,"09/02/2019, 17:00:07","09/02/2019, 17:03:05"
ESP_CurrentValue,Good : 13778,3.0,"09/02/2019, 18:00:04","09/02/2019, 18:03:04"
ESP_CurrentValue,Good : 13777,2.97,"09/02/2019, 19:00:04","09/02/2019, 19:03:02"
ESP_CurrentValue,Good : 13778,3.13,"09/02/2019, 20:00:05","09/02/2019, 20:03:13"
ESP_CurrentValue,Good : 13778,3.08,"09/02/2019, 21:00:05","09/02/2019, 21:03:10"
ESP_CurrentValue,Good : 13778,3.1,"09/02/2019, 22:00:07","09/02/2019, 22:03:13"
ESP_CurrentValue,Good : 13778,3.22,"09/02/2019, 23:00:05","09/02/2019, 23:03:18"
ESP_DailySummary,Good : 45019,11.0,"09/02/2019, 00:15:03","09/02/2019, 00:26:03"
ESP_Exception,Good : 0,0.02,"09/02/2019, 00:06:33","09/02/2019, 00:06:34"
ESP_Exception,Good : 200,8.77,"09/02/2019, 02:06:42","09/02/2019, 02:15:28"
ESP_Exception,Good : 0,0.0,"09/02/2019, 01:06:25","09/02/2019, 01:06:25"
ESP_Exception,Good : 161,3.82,"09/02/2019, 03:10:34","09/02/2019, 03:14:23"
ESP_Exception,Good : 175,2.22,"09/02/2019, 10:06:42","09/02/2019, 10:08:55"
ESP_Exception,Good : 173,2.73,"09/02/2019, 09:05:32","09/02/2019, 09:08:16"
ESP_Exception,Good : 169,2.12,"09/02/2019, 08:05:36","09/02/2019, 08:07:43"
ESP_Exception,Good : 165,2.4,"09/02/2019, 07:05:42","09/02/2019, 07:08:06"
ESP_Exception,Good : 165,2.53,"09/02/2019, 06:05:31","09/02/2019, 06:08:03"
ESP_Exception,Good : 192,4.62,"09/02/2019, 05:07:18","09/02/2019, 05:11:55"
ESP_Exception,Good : 163,3.33,"09/02/2019, 04:06:18","09/02/2019, 04:09:38"
ESP_Exception,Good : 119,2.82,"09/02/2019, 20:05:58","09/02/2019, 20:08:47"
ESP_Exception,Good : 122,2.85,"09/02/2019, 21:05:52","09/02/2019, 21:08:43"
ESP_Exception,Good : 115,2.53,"09/02/2019, 19:05:35","09/02/2019, 19:08:07"
ESP_Exception,Good : 116,2.03,"09/02/2019, 18:05:49","09/02/2019, 18:07:51"
ESP_Exception,Good : 142,2.55,"09/02/2019, 17:05:30","09/02/2019, 17:08:03"
ESP_Exception,Good : 139,2.92,"09/02/2019, 16:05:52","09/02/2019, 16:08:47"
ESP_Exception,Good : 156,2.2,"09/02/2019, 15:07:03","09/02/2019, 15:09:15"
ESP_Exception,Good : 156,2.05,"09/02/2019, 14:05:40","09/02/2019, 14:07:43"
ESP_Exception,Good : 164,2.37,"09/02/2019, 13:05:56","09/02/2019, 13:08:18"
ESP_Exception,Good : 167,2.28,"09/02/2019, 12:06:08","09/02/2019, 12:08:25"
ESP_Exception,Good : 169,3.27,"09/02/2019, 11:06:14","09/02/2019, 11:09:30"
ESP_Exception,Good : 121,6.1,"09/02/2019, 23:07:24","09/02/2019, 23:13:30"
ESP_Exception,Good : 123,3.32,"09/02/2019, 22:08:44","09/02/2019, 22:12:03"
ESP_HourlySummary,Good : 10190,5.43,"09/02/2019, 22:03:16","09/02/2019, 22:08:42"
ESP_HourlySummary,Good : 10203,4.02,"09/02/2019, 23:03:21","09/02/2019, 23:07:22"
ESP_HourlySummary,Good : 10244,2.48,"09/02/2019, 11:03:43","09/02/2019, 11:06:12"
ESP_HourlySummary,Good : 10166,3.35,"09/02/2019, 10:03:18","09/02/2019, 10:06:39"
ESP_HourlySummary,Good : 10206,2.67,"09/02/2019, 12:03:27","09/02/2019, 12:06:07"
ESP_HourlySummary,Good : 10196,2.48,"09/02/2019, 13:03:26","09/02/2019, 13:05:55"
ESP_HourlySummary,Good : 10188,2.6,"09/02/2019, 14:03:02","09/02/2019, 14:05:38"
ESP_HourlySummary,Good : 10229,4.03,"09/02/2019, 15:02:59","09/02/2019, 15:07:01"
ESP_HourlySummary,Good : 10272,2.63,"09/02/2019, 16:03:11","09/02/2019, 16:05:49"
ESP_HourlySummary,Good : 10219,2.33,"09/02/2019, 17:03:07","09/02/2019, 17:05:27"
