Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10925,16.1,"09/15/2019, 01:30:01","09/15/2019, 01:46:07"
CompressorBase_DailySummary,Good : 1305,0.1,"09/15/2019, 01:00:54","09/15/2019, 01:01:00"
DynaCardAnalysis,Good : 10520,264.53,"09/15/2019, 01:40:03","09/15/2019, 06:04:35"
ESP_CurrentValue,Good : 13766,2.2,"09/15/2019, 02:00:07","09/15/2019, 02:02:19"
ESP_CurrentValue,Good : 13766,2.0,"09/15/2019, 01:00:06","09/15/2019, 01:02:06"
ESP_CurrentValue,Good : 13766,2.07,"09/15/2019, 00:00:09","09/15/2019, 00:02:13"
ESP_CurrentValue,Good : 13766,2.8,"09/15/2019, 03:00:07","09/15/2019, 03:02:55"
ESP_CurrentValue,Good : 13766,2.45,"09/15/2019, 04:00:05","09/15/2019, 04:02:32"
ESP_CurrentValue,Good : 13766,2.1,"09/15/2019, 05:00:04","09/15/2019, 05:02:10"
ESP_CurrentValue,Good : 13766,2.13,"09/15/2019, 06:00:10","09/15/2019, 06:02:18"
ESP_CurrentValue,Good : 13766,2.22,"09/15/2019, 07:00:06","09/15/2019, 07:02:19"
ESP_CurrentValue,Good : 13766,2.88,"09/15/2019, 08:00:06","09/15/2019, 08:02:59"
ESP_CurrentValue,Good : 13766,2.07,"09/15/2019, 09:00:06","09/15/2019, 09:02:10"
ESP_CurrentValue,Good : 13766,2.02,"09/15/2019, 10:00:06","09/15/2019, 10:02:07"
ESP_CurrentValue,Good : 13766,2.0,"09/15/2019, 11:00:06","09/15/2019, 11:02:06"
ESP_CurrentValue,Good : 13766,1.95,"09/15/2019, 12:00:06","09/15/2019, 12:02:03"
ESP_CurrentValue,Good : 13766,1.87,"09/15/2019, 13:00:07","09/15/2019, 13:01:59"
ESP_CurrentValue,Good : 13765,2.08,"09/15/2019, 14:00:06","09/15/2019, 14:02:11"
ESP_CurrentValue,Good : 13766,2.03,"09/15/2019, 15:00:06","09/15/2019, 15:02:08"
ESP_CurrentValue,Good : 13766,1.97,"09/15/2019, 16:00:05","09/15/2019, 16:02:03"
ESP_CurrentValue,Good : 13766,1.97,"09/15/2019, 17:00:06","09/15/2019, 17:02:04"
ESP_CurrentValue,Good : 13766,1.98,"09/15/2019, 18:00:06","09/15/2019, 18:02:05"
ESP_CurrentValue,Good : 13766,2.08,"09/15/2019, 19:00:06","09/15/2019, 19:02:11"
ESP_CurrentValue,Good : 13766,2.15,"09/15/2019, 20:00:06","09/15/2019, 20:02:15"
ESP_CurrentValue,Good : 13766,2.05,"09/15/2019, 21:00:06","09/15/2019, 21:02:09"
ESP_CurrentValue,Good : 13766,2.18,"09/15/2019, 22:00:06","09/15/2019, 22:02:17"
ESP_CurrentValue,Good : 13766,2.22,"09/15/2019, 23:00:10","09/15/2019, 23:02:23"
ESP_DailySummary,Good : 45031,10.18,"09/15/2019, 00:15:03","09/15/2019, 00:25:14"
ESP_Exception,Good : 0,0.03,"09/15/2019, 00:04:59","09/15/2019, 00:05:01"
ESP_Exception,Good : 169,11.37,"09/15/2019, 02:04:57","09/15/2019, 02:16:19"
ESP_Exception,Good : 0,0.02,"09/15/2019, 01:04:49","09/15/2019, 01:04:50"
ESP_Exception,Good : 138,4.53,"09/15/2019, 03:05:31","09/15/2019, 03:10:03"
ESP_Exception,Good : 103,2.97,"09/15/2019, 09:04:38","09/15/2019, 09:07:36"
ESP_Exception,Good : 101,3.47,"09/15/2019, 10:04:33","09/15/2019, 10:08:01"
ESP_Exception,Good : 98,2.95,"09/15/2019, 08:06:25","09/15/2019, 08:09:22"
ESP_Exception,Good : 130,2.9,"09/15/2019, 07:04:46","09/15/2019, 07:07:40"
ESP_Exception,Good : 128,3.1,"09/15/2019, 06:04:51","09/15/2019, 06:07:57"
ESP_Exception,Good : 160,5.4,"09/15/2019, 05:04:45","09/15/2019, 05:10:09"
ESP_Exception,Good : 130,5.57,"09/15/2019, 04:05:26","09/15/2019, 04:11:00"
ESP_Exception,Good : 96,6.68,"09/15/2019, 23:05:32","09/15/2019, 23:12:13"
ESP_Exception,Good : 96,5.9,"09/15/2019, 22:05:26","09/15/2019, 22:11:20"
ESP_Exception,Good : 94,3.4,"09/15/2019, 21:04:41","09/15/2019, 21:08:05"
ESP_Exception,Good : 94,3.98,"09/15/2019, 20:04:49","09/15/2019, 20:08:48"
ESP_Exception,Good : 96,3.17,"09/15/2019, 18:04:37","09/15/2019, 18:07:47"
ESP_Exception,Good : 93,3.07,"09/15/2019, 19:04:34","09/15/2019, 19:07:38"
ESP_Exception,Good : 100,2.88,"09/15/2019, 17:04:31","09/15/2019, 17:07:24"
ESP_Exception,Good : 102,2.97,"09/15/2019, 16:04:29","09/15/2019, 16:07:27"
ESP_Exception,Good : 101,2.85,"09/15/2019, 15:04:29","09/15/2019, 15:07:20"
ESP_Exception,Good : 104,3.18,"09/15/2019, 14:04:31","09/15/2019, 14:07:42"
