ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,45.54,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.35,1.2,1440.0,1,1.0,False
DynaCardAnalysis,32.41,382.62,60.0,1,24.0,True
ESP_CurrentValue,5.54,36.97,60.0,24,24.0,False
ESP_DailySummary,29.72,132.75,1440.0,1,1.0,False
ESP_Exception,3.66,22.03,60.0,24,24.0,False
ESP_HourlySummary,6.45,46.87,60.0,24,24.0,False
ETL BACKFILL,3.27,15.83,0.0,0,0.0,False
ETL DAILY SUMMARY ESP US PROD,0.85,1.78,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,0.92,1.98,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,3.41,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.06,2.3,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.67,3.87,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,3.46,12.37,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.23,5.57,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.28,5.63,720.0,2,2.0,False
ETL PRI ESP US PROD,2.35,5.72,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.41,5.78,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.47,5.85,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.57,5.95,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.71,6.12,720.0,2,2.0,False
ETL PRI WELL US PROD,2.89,6.32,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,5.93,14.23,720.0,2,2.0,False
ETL WELLBORE US PROD,5.95,14.17,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,6.01,14.22,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.59,10.28,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,6.18,14.23,720.0,2,2.0,False
Flowing_CurrentValue,3.05,31.9,60.0,24,24.0,False
Flowing_DailySummary,1.04,2.73,1440.0,1,1.0,False
Flowing_Exception,2.13,9.65,60.0,24,24.0,False
Flowing_HourlySummary,1.41,30.58,60.0,24,24.0,False
Gaslift_CurrentValue,0.48,9.82,60.0,24,24.0,False
GasLift_DailySummary,2.27,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.52,6.4,60.0,24,24.0,False
Gaslift_HourlySummary,0.61,17.05,60.0,24,24.0,False
Injection_DailySummary,67.18,190.75,1440.0,1,1.0,False
PIAttributeMapExport,46.39,89.57,120.0,0,12.0,True
RodPump_CurrentValue,35.6,71.9,60.0,1,24.0,True
Rodpump_DailySummary,125.77,246.08,1440.0,1,1.0,False
RodPump_Exception,36.94,60.28,1440.0,1,1.0,False
RodPump_HourlySummary,39.58,210.25,60.0,22,24.0,True
RodpumpCycleHistory,19.59,50.48,1440.0,1,1.0,False
WellTestValidation,2.49,7.82,60.0,24,24.0,False
