ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,42.9,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.47,1.7,1440.0,1,1.0,False
DynaCardAnalysis,30.67,390.55,60.0,1,24.0,True
ESP_CurrentValue,6.82,39.55,60.0,24,24.0,False
ESP_DailySummary,39.23,132.75,1440.0,1,1.0,False
ESP_Exception,3.57,22.03,60.0,24,24.0,False
ESP_HourlySummary,8.22,53.18,60.0,23,24.0,True
ETL BACKFILL,3.27,15.83,0.0,0,0.0,False
ETL DAILY SUMMARY ESP US PROD,0.83,1.63,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,0.91,1.87,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,3.4,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.05,2.05,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.66,3.27,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,3.45,12.37,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.2,4.37,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.25,4.43,720.0,2,2.0,False
ETL PRI ESP US PROD,2.32,4.5,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.39,4.58,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.44,4.65,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.55,4.77,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.69,4.92,720.0,2,2.0,False
ETL PRI WELL US PROD,2.87,5.12,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,5.85,12.05,720.0,2,2.0,False
ETL WELLBORE US PROD,5.87,12.07,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,5.93,12.12,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.39,9.83,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,6.04,12.13,720.0,2,2.0,False
Flowing_CurrentValue,3.84,31.9,60.0,24,24.0,False
Flowing_DailySummary,1.22,2.73,1440.0,1,1.0,False
Flowing_Exception,2.11,9.4,60.0,24,24.0,False
Flowing_HourlySummary,1.77,30.58,60.0,23,24.0,True
Gaslift_CurrentValue,0.69,20.22,60.0,24,24.0,False
GasLift_DailySummary,2.77,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.44,6.4,60.0,24,24.0,False
Gaslift_HourlySummary,0.76,19.42,60.0,24,24.0,False
Injection_DailySummary,78.6,190.75,1440.0,1,1.0,False
PIAttributeMapExport,48.05,89.57,120.0,0,12.0,True
RodPump_CurrentValue,41.13,95.47,60.0,1,24.0,True
Rodpump_DailySummary,141.5,246.08,1440.0,1,1.0,False
RodPump_Exception,33.92,52.32,1440.0,1,1.0,False
RodPump_HourlySummary,47.13,212.78,60.0,23,24.0,True
RodpumpCycleHistory,22.16,50.48,1440.0,1,1.0,False
WellTestValidation,2.49,7.82,60.0,24,24.0,False
