Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10775,15.8,"08/31/2019, 01:30:01","08/31/2019, 01:45:49"
CompressorBase_DailySummary,Good : 1310,0.12,"08/31/2019, 01:00:59","08/31/2019, 01:01:06"
DynaCardAnalysis,Good : 10775,272.63,"08/31/2019, 01:40:03","08/31/2019, 06:12:41"
ESP_CurrentValue,Good : 13761,3.55,"08/31/2019, 02:00:05","08/31/2019, 02:03:38"
ESP_CurrentValue,Good : 13761,2.88,"08/31/2019, 01:00:07","08/31/2019, 01:03:00"
ESP_CurrentValue,Good : 13760,2.97,"08/31/2019, 00:00:05","08/31/2019, 00:03:03"
ESP_CurrentValue,Good : 13761,3.08,"08/31/2019, 03:00:05","08/31/2019, 03:03:10"
ESP_CurrentValue,Good : 13761,3.05,"08/31/2019, 04:00:05","08/31/2019, 04:03:08"
ESP_CurrentValue,Good : 13761,3.1,"08/31/2019, 05:00:04","08/31/2019, 05:03:10"
ESP_CurrentValue,Good : 13761,3.05,"08/31/2019, 06:00:06","08/31/2019, 06:03:09"
ESP_CurrentValue,Good : 13761,2.9,"08/31/2019, 07:00:05","08/31/2019, 07:02:59"
ESP_CurrentValue,Good : 13761,3.18,"08/31/2019, 08:00:05","08/31/2019, 08:03:16"
ESP_CurrentValue,Good : 13761,2.7,"08/31/2019, 09:00:05","08/31/2019, 09:02:47"
ESP_CurrentValue,Good : 13761,3.0,"08/31/2019, 10:00:05","08/31/2019, 10:03:05"
ESP_CurrentValue,Good : 13760,2.98,"08/31/2019, 11:00:06","08/31/2019, 11:03:05"
ESP_CurrentValue,Good : 13760,2.97,"08/31/2019, 12:00:06","08/31/2019, 12:03:04"
ESP_CurrentValue,Good : 13759,2.97,"08/31/2019, 13:00:05","08/31/2019, 13:03:03"
ESP_CurrentValue,Good : 13760,2.88,"08/31/2019, 14:00:05","08/31/2019, 14:02:58"
ESP_CurrentValue,Good : 13760,2.88,"08/31/2019, 15:00:04","08/31/2019, 15:02:57"
