Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10642,18.45,"08/28/2019, 01:30:01","08/28/2019, 01:48:28"
CompressorBase_DailySummary,Good : 1310,0.17,"08/28/2019, 01:01:01","08/28/2019, 01:01:11"
DynaCardAnalysis,Good : 10642,298.27,"08/28/2019, 01:40:03","08/28/2019, 06:38:19"
ESP_CurrentValue,Good : 13753,4.02,"08/28/2019, 02:00:09","08/28/2019, 02:04:10"
ESP_CurrentValue,Good : 13754,3.02,"08/28/2019, 01:00:06","08/28/2019, 01:03:07"
ESP_CurrentValue,Good : 13754,3.75,"08/28/2019, 00:00:06","08/28/2019, 00:03:51"
ESP_CurrentValue,Good : 13754,6.25,"08/28/2019, 03:00:07","08/28/2019, 03:06:22"
ESP_CurrentValue,Good : 13758,3.53,"08/28/2019, 04:00:06","08/28/2019, 04:03:38"
ESP_CurrentValue,Good : 13765,2.87,"08/28/2019, 05:00:06","08/28/2019, 05:02:58"
ESP_CurrentValue,Good : 13766,3.83,"08/28/2019, 06:00:09","08/28/2019, 06:03:59"
ESP_CurrentValue,Good : 13766,3.15,"08/28/2019, 07:00:06","08/28/2019, 07:03:15"
ESP_CurrentValue,Good : 13766,4.17,"08/28/2019, 08:00:08","08/28/2019, 08:04:18"
ESP_CurrentValue,Good : 13766,2.72,"08/28/2019, 09:00:09","08/28/2019, 09:02:52"
ESP_CurrentValue,Good : 13762,3.68,"08/28/2019, 10:00:08","08/28/2019, 10:03:49"
ESP_CurrentValue,Good : 13763,3.38,"08/28/2019, 11:00:06","08/28/2019, 11:03:29"
ESP_CurrentValue,Good : 13763,4.03,"08/28/2019, 12:00:05","08/28/2019, 12:04:07"
ESP_CurrentValue,Good : 13763,3.23,"08/28/2019, 13:00:05","08/28/2019, 13:03:19"
ESP_CurrentValue,Good : 13763,3.5,"08/28/2019, 14:00:05","08/28/2019, 14:03:35"
ESP_CurrentValue,Good : 13763,3.17,"08/28/2019, 15:00:06","08/28/2019, 15:03:16"
ESP_CurrentValue,Good : 13763,3.07,"08/28/2019, 16:00:05","08/28/2019, 16:03:09"
ESP_CurrentValue,Good : 13763,3.03,"08/28/2019, 17:00:07","08/28/2019, 17:03:09"
ESP_CurrentValue,Good : 13762,2.68,"08/28/2019, 18:00:06","08/28/2019, 18:02:47"
ESP_CurrentValue,Good : 13761,3.13,"08/28/2019, 19:00:05","08/28/2019, 19:03:13"
ESP_CurrentValue,Good : 13761,4.05,"08/28/2019, 20:00:05","08/28/2019, 20:04:08"
ESP_CurrentValue,Good : 13761,4.15,"08/28/2019, 21:00:05","08/28/2019, 21:04:14"
ESP_CurrentValue,Good : 13760,3.65,"08/28/2019, 22:00:08","08/28/2019, 22:03:47"
ESP_CurrentValue,Good : 13760,3.27,"08/28/2019, 23:00:05","08/28/2019, 23:03:21"
ESP_DailySummary,Good : 45018,11.15,"08/28/2019, 00:15:03","08/28/2019, 00:26:12"
ESP_Exception,Good : 0,0.03,"08/28/2019, 00:06:58","08/28/2019, 00:07:00"
ESP_Exception,Good : 0,0.02,"08/28/2019, 01:05:55","08/28/2019, 01:05:56"
ESP_Exception,Good : 285,5.1,"08/28/2019, 02:10:39","08/28/2019, 02:15:45"
ESP_Exception,Good : 277,7.45,"08/28/2019, 03:10:01","08/28/2019, 03:17:28"
ESP_Exception,Good : 556,5.53,"08/28/2019, 09:05:25","08/28/2019, 09:10:57"
ESP_Exception,Good : 567,5.58,"08/28/2019, 10:06:47","08/28/2019, 10:12:22"
ESP_Exception,Good : 524,6.55,"08/28/2019, 08:07:03","08/28/2019, 08:13:36"
ESP_Exception,Good : 485,3.53,"08/28/2019, 07:05:52","08/28/2019, 07:09:24"
ESP_Exception,Good : 478,4.62,"08/28/2019, 06:11:17","08/28/2019, 06:15:54"
ESP_Exception,Good : 348,5.77,"08/28/2019, 04:06:26","08/28/2019, 04:12:12"
ESP_Exception,Good : 463,22.03,"08/28/2019, 05:05:46","08/28/2019, 05:27:48"
