Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10845,16.75,"09/11/2019, 01:30:02","09/11/2019, 01:46:47"
CompressorBase_DailySummary,Good : 1310,0.32,"09/11/2019, 01:01:01","09/11/2019, 01:01:20"
DynaCardAnalysis,Good : 10845,315.02,"09/11/2019, 01:40:03","09/11/2019, 06:55:04"
ESP_CurrentValue,Good : 13751,2.33,"09/11/2019, 02:00:08","09/11/2019, 02:02:28"
ESP_CurrentValue,Good : 13752,2.15,"09/11/2019, 01:00:10","09/11/2019, 01:02:19"
ESP_CurrentValue,Good : 13752,2.25,"09/11/2019, 00:00:07","09/11/2019, 00:02:22"
ESP_CurrentValue,Good : 13752,2.2,"09/11/2019, 03:00:08","09/11/2019, 03:02:20"
ESP_CurrentValue,Good : 13752,2.62,"09/11/2019, 04:00:07","09/11/2019, 04:02:44"
ESP_CurrentValue,Good : 13752,2.22,"09/11/2019, 05:00:04","09/11/2019, 05:02:17"
ESP_CurrentValue,Good : 13751,2.22,"09/11/2019, 06:00:08","09/11/2019, 06:02:21"
ESP_CurrentValue,Good : 13752,2.15,"09/11/2019, 07:00:07","09/11/2019, 07:02:16"
ESP_CurrentValue,Good : 13752,2.07,"09/11/2019, 08:00:05","09/11/2019, 08:02:09"
ESP_CurrentValue,Good : 13752,2.2,"09/11/2019, 09:00:07","09/11/2019, 09:02:19"
ESP_CurrentValue,Good : 13752,2.13,"09/11/2019, 10:00:07","09/11/2019, 10:02:15"
ESP_CurrentValue,Good : 13752,2.07,"09/11/2019, 11:00:07","09/11/2019, 11:02:11"
ESP_CurrentValue,Good : 13752,2.25,"09/11/2019, 12:00:05","09/11/2019, 12:02:20"
ESP_CurrentValue,Good : 13752,2.18,"09/11/2019, 13:00:05","09/11/2019, 13:02:16"
ESP_CurrentValue,Good : 13752,2.53,"09/11/2019, 14:00:05","09/11/2019, 14:02:37"
ESP_CurrentValue,Good : 13752,2.22,"09/11/2019, 15:00:07","09/11/2019, 15:02:20"
ESP_CurrentValue,Good : 13752,2.2,"09/11/2019, 16:00:06","09/11/2019, 16:02:18"
ESP_CurrentValue,Good : 13752,2.1,"09/11/2019, 17:00:11","09/11/2019, 17:02:17"
ESP_CurrentValue,Good : 13752,2.15,"09/11/2019, 18:00:05","09/11/2019, 18:02:14"
ESP_CurrentValue,Good : 13754,2.13,"09/11/2019, 19:00:06","09/11/2019, 19:02:14"
ESP_CurrentValue,Good : 13756,2.5,"09/11/2019, 20:00:06","09/11/2019, 20:02:36"
ESP_CurrentValue,Good : 13756,2.08,"09/11/2019, 21:00:05","09/11/2019, 21:02:10"
ESP_CurrentValue,Good : 13754,2.37,"09/11/2019, 22:00:06","09/11/2019, 22:02:28"
ESP_CurrentValue,Good : 13756,2.02,"09/11/2019, 23:00:06","09/11/2019, 23:02:07"
ESP_DailySummary,Good : 45028,16.6,"09/11/2019, 00:15:03","09/11/2019, 00:31:39"
ESP_Exception,Good : 0,0.02,"09/11/2019, 00:04:58","09/11/2019, 00:04:59"
ESP_Exception,Good : 220,6.27,"09/11/2019, 02:05:00","09/11/2019, 02:11:16"
ESP_Exception,Good : 0,0.02,"09/11/2019, 01:04:52","09/11/2019, 01:04:53"
ESP_Exception,Good : 168,7.48,"09/11/2019, 03:09:46","09/11/2019, 03:17:15"
ESP_Exception,Good : 151,4.35,"09/11/2019, 10:04:51","09/11/2019, 10:09:12"
ESP_Exception,Good : 149,5.28,"09/11/2019, 09:04:43","09/11/2019, 09:10:00"
ESP_Exception,Good : 153,4.52,"09/11/2019, 08:04:44","09/11/2019, 08:09:15"
ESP_Exception,Good : 161,3.57,"09/11/2019, 07:05:41","09/11/2019, 07:09:15"
ESP_Exception,Good : 170,4.07,"09/11/2019, 06:05:04","09/11/2019, 06:09:08"
ESP_Exception,Good : 189,7.82,"09/11/2019, 05:05:01","09/11/2019, 05:12:50"
ESP_Exception,Good : 161,4.42,"09/11/2019, 04:06:16","09/11/2019, 04:10:41"
ESP_Exception,Good : 187,6.15,"09/11/2019, 22:05:50","09/11/2019, 22:11:59"
ESP_Exception,Good : 190,9.12,"09/11/2019, 23:05:14","09/11/2019, 23:14:21"
ESP_Exception,Good : 188,6.0,"09/11/2019, 21:04:38","09/11/2019, 21:10:38"
ESP_Exception,Good : 183,5.98,"09/11/2019, 20:05:04","09/11/2019, 20:11:03"
ESP_Exception,Good : 172,4.1,"09/11/2019, 19:04:39","09/11/2019, 19:08:45"
ESP_Exception,Good : 148,3.5,"09/11/2019, 18:04:45","09/11/2019, 18:08:15"
ESP_Exception,Good : 151,3.55,"09/11/2019, 17:04:39","09/11/2019, 17:08:12"
ESP_Exception,Good : 146,4.98,"09/11/2019, 16:04:43","09/11/2019, 16:09:42"
ESP_Exception,Good : 146,4.1,"09/11/2019, 15:04:57","09/11/2019, 15:09:03"
ESP_Exception,Good : 158,4.78,"09/11/2019, 14:05:01","09/11/2019, 14:09:48"
ESP_Exception,Good : 159,5.72,"09/11/2019, 13:04:48","09/11/2019, 13:10:31"
ESP_Exception,Good : 161,5.05,"09/11/2019, 12:04:46","09/11/2019, 12:09:49"
ESP_Exception,Good : 157,3.72,"09/11/2019, 11:04:48","09/11/2019, 11:08:31"
ESP_HourlySummary,Good : 10183,2.37,"09/11/2019, 12:02:22","09/11/2019, 12:04:44"
ESP_HourlySummary,Good : 10162,2.47,"09/11/2019, 13:02:18","09/11/2019, 13:04:46"
ESP_HourlySummary,Good : 10112,2.33,"09/11/2019, 14:02:39","09/11/2019, 14:04:59"
