Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 7378,16.25,"08/25/2019, 01:30:01","08/25/2019, 01:46:16"
CompressorBase_DailySummary,Good : 1310,0.13,"08/25/2019, 01:00:58","08/25/2019, 01:01:06"
DynaCardAnalysis,Good : 7378,193.0,"08/25/2019, 01:40:03","08/25/2019, 04:53:03"
ESP_CurrentValue,Good : 13764,3.2,"08/25/2019, 02:00:06","08/25/2019, 02:03:18"
ESP_CurrentValue,Good : 13764,3.15,"08/25/2019, 01:00:08","08/25/2019, 01:03:17"
ESP_CurrentValue,Good : 13764,3.47,"08/25/2019, 00:00:07","08/25/2019, 00:03:35"
ESP_CurrentValue,Good : 13764,2.8,"08/25/2019, 03:00:07","08/25/2019, 03:02:55"
ESP_CurrentValue,Good : 13764,2.88,"08/25/2019, 04:00:07","08/25/2019, 04:03:00"
ESP_CurrentValue,Good : 13764,2.95,"08/25/2019, 05:00:08","08/25/2019, 05:03:05"
ESP_CurrentValue,Good : 13764,3.02,"08/25/2019, 06:00:07","08/25/2019, 06:03:08"
ESP_CurrentValue,Good : 13764,2.93,"08/25/2019, 07:00:06","08/25/2019, 07:03:02"
ESP_CurrentValue,Good : 13764,2.8,"08/25/2019, 08:00:06","08/25/2019, 08:02:54"
ESP_CurrentValue,Good : 13764,2.7,"08/25/2019, 09:00:07","08/25/2019, 09:02:49"
ESP_CurrentValue,Good : 13764,2.9,"08/25/2019, 10:00:07","08/25/2019, 10:03:01"
ESP_CurrentValue,Good : 13760,2.95,"08/25/2019, 11:00:09","08/25/2019, 11:03:06"
ESP_CurrentValue,Good : 13760,2.85,"08/25/2019, 12:00:06","08/25/2019, 12:02:57"
ESP_CurrentValue,Good : 13760,2.85,"08/25/2019, 13:00:05","08/25/2019, 13:02:56"
ESP_CurrentValue,Good : 13760,2.67,"08/25/2019, 14:00:06","08/25/2019, 14:02:46"
ESP_CurrentValue,Good : 13760,2.75,"08/25/2019, 15:00:07","08/25/2019, 15:02:52"
ESP_CurrentValue,Good : 13760,2.6,"08/25/2019, 16:00:06","08/25/2019, 16:02:42"
ESP_CurrentValue,Good : 13760,2.72,"08/25/2019, 17:00:05","08/25/2019, 17:02:48"
ESP_CurrentValue,Good : 13760,2.92,"08/25/2019, 18:00:10","08/25/2019, 18:03:05"
ESP_CurrentValue,Good : 13760,2.78,"08/25/2019, 19:00:06","08/25/2019, 19:02:53"
ESP_CurrentValue,Good : 13762,2.95,"08/25/2019, 20:00:05","08/25/2019, 20:03:02"
ESP_CurrentValue,Good : 13762,3.53,"08/25/2019, 21:00:08","08/25/2019, 21:03:40"
ESP_CurrentValue,Good : 13761,3.35,"08/25/2019, 22:00:06","08/25/2019, 22:03:27"
ESP_CurrentValue,Good : 13762,3.03,"08/25/2019, 23:00:06","08/25/2019, 23:03:08"
ESP_DailySummary,Good : 44996,9.53,"08/25/2019, 00:15:04","08/25/2019, 00:24:36"
ESP_Exception,Good : 0,0.02,"08/25/2019, 00:06:34","08/25/2019, 00:06:35"
ESP_Exception,Good : 181,6.3,"08/25/2019, 02:05:54","08/25/2019, 02:12:12"
ESP_Exception,Good : 0,0.02,"08/25/2019, 01:05:55","08/25/2019, 01:05:56"
ESP_Exception,Good : 147,5.25,"08/25/2019, 03:05:37","08/25/2019, 03:10:52"
ESP_Exception,Good : 184,3.35,"08/25/2019, 10:05:34","08/25/2019, 10:08:55"
ESP_Exception,Good : 184,2.73,"08/25/2019, 09:05:23","08/25/2019, 09:08:07"
ESP_Exception,Good : 175,3.0,"08/25/2019, 07:05:30","08/25/2019, 07:08:30"
ESP_Exception,Good : 177,3.42,"08/25/2019, 08:05:24","08/25/2019, 08:08:49"
ESP_Exception,Good : 173,2.58,"08/25/2019, 06:05:31","08/25/2019, 06:08:06"
ESP_Exception,Good : 170,3.92,"08/25/2019, 04:05:43","08/25/2019, 04:09:38"
ESP_Exception,Good : 192,6.98,"08/25/2019, 05:06:25","08/25/2019, 05:13:24"
ESP_Exception,Good : 245,3.05,"08/25/2019, 21:06:17","08/25/2019, 21:09:20"
ESP_Exception,Good : 212,3.47,"08/25/2019, 20:05:39","08/25/2019, 20:09:07"
ESP_Exception,Good : 182,2.43,"08/25/2019, 19:05:31","08/25/2019, 19:07:57"
ESP_Exception,Good : 177,2.45,"08/25/2019, 18:05:27","08/25/2019, 18:07:54"
ESP_Exception,Good : 172,2.63,"08/25/2019, 17:05:15","08/25/2019, 17:07:53"
ESP_Exception,Good : 192,2.65,"08/25/2019, 15:05:23","08/25/2019, 15:08:02"
ESP_Exception,Good : 195,2.85,"08/25/2019, 16:05:11","08/25/2019, 16:08:02"
ESP_Exception,Good : 184,2.2,"08/25/2019, 14:05:20","08/25/2019, 14:07:32"
ESP_Exception,Good : 186,2.73,"08/25/2019, 13:05:38","08/25/2019, 13:08:22"
ESP_Exception,Good : 181,2.62,"08/25/2019, 12:06:05","08/25/2019, 12:08:42"
ESP_Exception,Good : 183,2.6,"08/25/2019, 11:05:38","08/25/2019, 11:08:14"
ESP_Exception,Good : 252,4.9,"08/25/2019, 23:06:23","08/25/2019, 23:11:17"
ESP_Exception,Good : 249,3.75,"08/25/2019, 22:09:21","08/25/2019, 22:13:06"
ESP_HourlySummary,Good : 10012,5.83,"08/25/2019, 22:03:30","08/25/2019, 22:09:20"
ESP_HourlySummary,Good : 10082,3.2,"08/25/2019, 23:03:10","08/25/2019, 23:06:22"
ESP_HourlySummary,Good : 10212,2.48,"08/25/2019, 11:03:08","08/25/2019, 11:05:37"
ESP_HourlySummary,Good : 10194,3.07,"08/25/2019, 12:03:00","08/25/2019, 12:06:04"
ESP_HourlySummary,Good : 10264,2.6,"08/25/2019, 13:02:59","08/25/2019, 13:05:35"
ESP_HourlySummary,Good : 10142,2.5,"08/25/2019, 14:02:49","08/25/2019, 14:05:19"
ESP_HourlySummary,Good : 10142,2.47,"08/25/2019, 15:02:54","08/25/2019, 15:05:22"
ESP_HourlySummary,Good : 10147,2.38,"08/25/2019, 16:02:45","08/25/2019, 16:05:08"
ESP_HourlySummary,Good : 10204,2.37,"08/25/2019, 17:02:51","08/25/2019, 17:05:13"
ESP_HourlySummary,Good : 10216,2.3,"08/25/2019, 18:03:08","08/25/2019, 18:05:26"
ESP_HourlySummary,Good : 10151,2.55,"08/25/2019, 19:02:56","08/25/2019, 19:05:29"
ESP_HourlySummary,Good : 10132,2.53,"08/25/2019, 20:03:05","08/25/2019, 20:05:37"
