Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 01:21:27","10/16/2019, 01:21:45"
Cipher.DynaCardCollector,Good : 1,0.25,"10/16/2019, 01:41:27","10/16/2019, 01:41:42"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 00:11:27","10/16/2019, 00:11:47"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 02:41:27","10/16/2019, 02:41:45"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 08:41:27","10/16/2019, 08:41:47"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 13:01:28","10/16/2019, 13:01:46"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 14:31:27","10/16/2019, 14:31:45"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 01:01:27","10/16/2019, 01:01:46"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 02:11:27","10/16/2019, 02:11:45"
Cipher.DynaCardCollector,Good : 7202,16.47,"10/16/2019, 01:30:02","10/16/2019, 01:46:30"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 07:11:27","10/16/2019, 07:11:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 08:51:27","10/16/2019, 08:51:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 09:41:27","10/16/2019, 09:41:46"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 10:21:27","10/16/2019, 10:21:47"
Cipher.DynaCardCollector,Good : 1,0.38,"10/16/2019, 14:11:27","10/16/2019, 14:11:50"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 00:41:27","10/16/2019, 00:41:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 00:51:27","10/16/2019, 00:51:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 05:01:27","10/16/2019, 05:01:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 06:31:27","10/16/2019, 06:31:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 07:01:27","10/16/2019, 07:01:46"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 08:11:27","10/16/2019, 08:11:47"
Cipher.DynaCardCollector,Good : 1,0.35,"10/16/2019, 11:21:27","10/16/2019, 11:21:48"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 11:31:27","10/16/2019, 11:31:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 12:31:27","10/16/2019, 12:31:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 00:31:27","10/16/2019, 00:31:46"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 13:11:28","10/16/2019, 13:11:46"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 23:01:27","10/16/2019, 23:01:47"
Cipher.DynaCardCollector,Good : 1,0.37,"10/16/2019, 23:51:27","10/16/2019, 23:51:49"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 01:11:27","10/16/2019, 01:11:45"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 02:21:27","10/16/2019, 02:21:45"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 03:41:27","10/16/2019, 03:41:46"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 04:01:27","10/16/2019, 04:01:47"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 04:41:27","10/16/2019, 04:41:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 06:01:27","10/16/2019, 06:01:46"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 15:21:27","10/16/2019, 15:21:45"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 18:11:27","10/16/2019, 18:11:45"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 09:21:27","10/16/2019, 09:21:47"
Cipher.DynaCardCollector,Good : 1,0.37,"10/16/2019, 12:21:27","10/16/2019, 12:21:49"
Cipher.DynaCardCollector,Good : 1,0.3,"10/16/2019, 19:41:27","10/16/2019, 19:41:45"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 21:41:27","10/16/2019, 21:41:47"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 22:21:27","10/16/2019, 22:21:47"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 22:41:27","10/16/2019, 22:41:46"
Cipher.DynaCardCollector,Good : 1,0.33,"10/16/2019, 23:31:27","10/16/2019, 23:31:47"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 00:21:27","10/16/2019, 00:21:46"
Cipher.DynaCardCollector,Good : 1,0.32,"10/16/2019, 01:31:27","10/16/2019, 01:31:46"
