Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 10819,19.23,"09/03/2019, 01:30:01","09/03/2019, 01:49:15"
CompressorBase_DailySummary,Good : 1310,0.12,"09/03/2019, 01:01:03","09/03/2019, 01:01:10"
DynaCardAnalysis,Good : 10819,248.4,"09/03/2019, 01:40:03","09/03/2019, 05:48:27"
ESP_CurrentValue,Good : 13778,3.4,"09/03/2019, 02:00:07","09/03/2019, 02:03:31"
ESP_CurrentValue,Good : 13778,3.07,"09/03/2019, 01:00:05","09/03/2019, 01:03:09"
ESP_CurrentValue,Good : 13778,3.05,"09/03/2019, 00:00:05","09/03/2019, 00:03:08"
ESP_CurrentValue,Good : 13778,2.83,"09/03/2019, 03:00:06","09/03/2019, 03:02:56"
ESP_CurrentValue,Good : 13778,3.65,"09/03/2019, 04:00:05","09/03/2019, 04:03:44"
ESP_CurrentValue,Good : 13778,3.28,"09/03/2019, 05:00:06","09/03/2019, 05:03:23"
ESP_CurrentValue,Good : 13778,3.65,"09/03/2019, 06:00:05","09/03/2019, 06:03:44"
ESP_CurrentValue,Good : 13777,3.17,"09/03/2019, 07:00:05","09/03/2019, 07:03:15"
ESP_CurrentValue,Good : 13778,3.03,"09/03/2019, 08:00:06","09/03/2019, 08:03:08"
ESP_CurrentValue,Good : 13778,2.97,"09/03/2019, 09:00:05","09/03/2019, 09:03:03"
ESP_CurrentValue,Good : 13778,3.17,"09/03/2019, 10:00:04","09/03/2019, 10:03:14"
ESP_CurrentValue,Good : 13778,3.18,"09/03/2019, 11:00:08","09/03/2019, 11:03:19"
ESP_CurrentValue,Good : 13778,3.23,"09/03/2019, 12:00:06","09/03/2019, 12:03:20"
ESP_CurrentValue,Good : 13778,3.22,"09/03/2019, 13:00:05","09/03/2019, 13:03:18"
ESP_CurrentValue,Good : 13778,3.1,"09/03/2019, 14:00:05","09/03/2019, 14:03:11"
ESP_CurrentValue,Good : 13778,3.23,"09/03/2019, 15:00:04","09/03/2019, 15:03:18"
ESP_CurrentValue,Good : 13778,3.37,"09/03/2019, 16:00:05","09/03/2019, 16:03:27"
