ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,44.15,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.4,1.2,1440.0,1,1.0,False
DynaCardAnalysis,31.02,388.92,60.0,1,24.0,True
ESP_CurrentValue,6.09,37.23,60.0,24,24.0,False
ESP_DailySummary,34.65,132.75,1440.0,1,1.0,False
ESP_Exception,3.66,22.03,60.0,24,24.0,False
ESP_HourlySummary,7.13,46.87,60.0,24,24.0,False
ETL BACKFILL,3.27,15.83,0.0,0,0.0,False
ETL DAILY SUMMARY ESP US PROD,0.86,1.78,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,0.93,1.98,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,3.42,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.08,2.3,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.71,3.87,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,3.49,12.37,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.27,5.57,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.32,5.63,720.0,2,2.0,False
ETL PRI ESP US PROD,2.39,5.72,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.45,5.78,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.51,5.85,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.61,5.95,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.75,6.12,720.0,2,2.0,False
ETL PRI WELL US PROD,2.93,6.32,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,6.02,14.23,720.0,2,2.0,False
ETL WELLBORE US PROD,6.04,14.17,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,6.11,14.22,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.55,10.28,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,6.17,14.23,720.0,2,2.0,False
Flowing_CurrentValue,3.33,31.9,60.0,24,24.0,False
Flowing_DailySummary,1.1,2.73,1440.0,1,1.0,False
Flowing_Exception,2.17,9.65,60.0,24,24.0,False
Flowing_HourlySummary,1.58,30.58,60.0,24,24.0,False
Gaslift_CurrentValue,0.55,9.82,60.0,24,24.0,False
GasLift_DailySummary,2.53,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.53,6.4,60.0,24,24.0,False
Gaslift_HourlySummary,0.65,17.05,60.0,24,24.0,False
Injection_DailySummary,74.46,190.75,1440.0,1,1.0,False
PIAttributeMapExport,48.11,89.57,120.0,0,12.0,True
RodPump_CurrentValue,37.88,71.9,60.0,1,24.0,True
Rodpump_DailySummary,133.67,246.08,1440.0,1,1.0,False
RodPump_Exception,36.43,60.28,1440.0,1,1.0,False
RodPump_HourlySummary,42.57,210.25,60.0,23,24.0,True
RodpumpCycleHistory,21.22,50.48,1440.0,1,1.0,False
WellTestValidation,2.5,7.82,60.0,24,24.0,False
