ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,45.09,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.37,1.2,1440.0,1,1.0,False
DynaCardAnalysis,31.04,382.62,60.0,1,24.0,True
ESP_CurrentValue,5.7,36.97,60.0,24,24.0,False
ESP_DailySummary,31.68,132.75,1440.0,1,1.0,False
ESP_Exception,3.68,22.03,60.0,24,24.0,False
ESP_HourlySummary,6.66,46.87,60.0,24,24.0,False
ETL BACKFILL,3.27,15.83,0.0,0,0.0,False
ETL DAILY SUMMARY ESP US PROD,0.85,1.78,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,0.92,1.98,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,3.41,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.07,2.3,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.68,3.87,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,3.47,12.37,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.24,5.57,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.29,5.63,720.0,2,2.0,False
ETL PRI ESP US PROD,2.36,5.72,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.43,5.78,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.48,5.85,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.59,5.95,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.72,6.12,720.0,2,2.0,False
ETL PRI WELL US PROD,2.91,6.32,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,5.96,14.23,720.0,2,2.0,False
ETL WELLBORE US PROD,5.98,14.17,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,6.05,14.22,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.55,10.28,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,6.18,14.23,720.0,2,2.0,False
Flowing_CurrentValue,3.14,31.9,60.0,24,24.0,False
Flowing_DailySummary,1.07,2.73,1440.0,1,1.0,False
Flowing_Exception,2.15,9.65,60.0,24,24.0,False
Flowing_HourlySummary,1.46,30.58,60.0,24,24.0,False
Gaslift_CurrentValue,0.5,9.82,60.0,24,24.0,False
GasLift_DailySummary,2.38,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.53,6.4,60.0,24,24.0,False
Gaslift_HourlySummary,0.62,17.05,60.0,24,24.0,False
Injection_DailySummary,70.58,190.75,1440.0,1,1.0,False
PIAttributeMapExport,48.03,89.57,120.0,1,12.0,True
RodPump_CurrentValue,36.65,71.9,60.0,1,24.0,True
Rodpump_DailySummary,128.96,246.08,1440.0,1,1.0,False
RodPump_Exception,36.82,60.28,1440.0,1,1.0,False
RodPump_HourlySummary,40.41,210.25,60.0,23,24.0,True
RodpumpCycleHistory,20.64,50.48,1440.0,1,1.0,False
WellTestValidation,2.49,7.82,60.0,24,24.0,False
